brewery_type,city,state,country,is_micro
micro,Tumut,NSW,Australia,1
micro,Tumut,NSW,Australia,1
brewpub,Atlantic City,New Jersey,United States,0
micro,Spring City,Pennsylvania,United States,1
brewpub,Harbor Springs,Michigan,United States,0
contract,Bethesda,Maryland,United States,0
micro,McKinney,Texas,United States,1
micro,Fairview,North Carolina,United States,1
micro,Houston,Texas,United States,1
brewpub,Bloomsburg,Pennsylvania,United States,0
planning,Sebring,Florida,United States,0
micro,Anchorage,Alaska,United States,1
micro,Bedford,Texas,United States,1
micro,Nashville,Tennessee,United States,1
brewpub,Rio Rancho,New Mexico,United States,0
micro,La Crosse,Wisconsin,United States,1
micro,Jamaica Plain,Massachusetts,United States,1
planning,Laytonsville,Maryland,United States,0
planning,Boerne,Texas,United States,0
brewpub,Tustin,California,United States,0
planning,Gardiner,New York,United States,0
planning,Santa Cruz,California,United States,0
contract,San Francisco,California,United States,0
brewpub,Decatur,Georgia,United States,0
micro,Farmingdale,New York,United States,1
closed,Spokane,Washington,United States,0
brewpub,Indianapolis,Indiana,United States,0
micro,Concord,North Carolina,United States,1
brewpub,Marion,Ohio,United States,0
brewpub,North Woodstock,New Hampshire,United States,0
micro,Vinton,Virginia,United States,1
micro,Chatham,New Jersey,United States,1
micro,Wilmington,Delaware,United States,1
micro,Asheville,North Carolina,United States,1
brewpub,Catawba Island,Ohio,United States,0
micro,Irving,Texas,United States,1
planning,San Antonio,Texas,United States,0
brewpub,Bellingham,Washington,United States,0
micro,Sterling,Virginia,United States,1
micro,Richmond,Virginia,United States,1
micro,Jasper,Alabama,United States,1
planning,Mount Joy,Pennsylvania,United States,0
closed,Charleston,South Carolina,United States,0
contract,Chicago,Illinois,United States,0
brewpub,Boulder,Colorado,United States,0
micro,Canandaigua,New York,United States,1
micro,Saint Louis,Missouri,United States,1
micro,Oklahoma City,Oklahoma,United States,1
brewpub,Columbia,South Carolina,United States,0
micro,North Palm Beach,Florida,United States,1
micro,West Des Moines,Iowa,United States,1
micro,Dripping Springs,Texas,United States,1
contract,Reno,Nevada,United States,0
brewpub,Hicksville,Ohio,United States,0
brewpub,Onalaska,Wisconsin,United States,0
large,Spotswood,VIC,Australia,0
micro,Mount Pleasant,South Carolina,United States,1
regional,Warrenville,Illinois,United States,0
brewpub,Scottsdale,Arizona,United States,0
micro,Dromana,VIC,Australia,1
micro,Gardena,California,United States,1
planning,Lubbock,Texas,United States,0
planning,Clearlake,California,United States,0
contract,Virginia Beach,Virginia,United States,0
micro,Tarpon Springs,Florida,United States,1
brewpub,Burdett,New York,United States,0
brewpub,Gardiner,Maine,United States,0
micro,Dromana,VIC,Australia,1
micro,Plant City,Florida,United States,1
micro,Sherwood,Oregon,United States,1
planning,Austin,Texas,United States,0
micro,South Lismore,NSW,Australia,1
micro,Akron,Ohio,United States,1
micro,Saint Charles,Missouri,United States,1
micro,Montrose,Colorado,United States,1
brewpub,Easton,Pennsylvania,United States,0
regional,Stratford,Connecticut,United States,0
contract,Allen,Texas,United States,0
micro,Savannah,Georgia,United States,1
micro,Kenilworth,New Jersey,United States,1
micro,Buda,Texas,United States,1
micro,Roseburg,Oregon,United States,1
micro,Centennial,Colorado,United States,1
micro,Dromana,VIC,Australia,1
brewpub,Indianapolis,Indiana,United States,0
brewpub,Wyoming,Michigan,United States,0
micro,Lake Mills,Wisconsin,United States,1
micro,Belle Plaine,Minnesota,United States,1
brewpub,Billings,Montana,United States,0
micro,Traverse City,Michigan,United States,1
regional,Salt Lake City,Utah,United States,0
brewpub,Ukiah,California,United States,0
brewpub,Tampa,Florida,United States,0
taproom,Brighton,East Sussex,England,0
brewpub,Phoenix,Arizona,United States,0
micro,Austin,Texas,United States,1
brewpub,Grapevine,Texas,United States,0
contract,Panama City,Florida,United States,0
closed,Santa Cruz,California,United States,0
planning,Beaver Dam,Kentucky,United States,0
planning,Plymouth,Minnesota,United States,0
micro,Houston,Texas,United States,1
micro,Reno,Nevada,United States,1
brewpub,Reno,Nevada,United States,0
planning,Knoxville,Tennessee,United States,0
nano,Woodinville,Washington,United States,0
brewpub,San Luis Obispo,California,United States,0
micro,Niles,Illinois,United States,1
planning,Ballston Lake,New York,United States,0
planning,Glenwood Springs,Colorado,United States,0
micro,Eagan,Minnesota,United States,1
brewpub,Stevens,Pennsylvania,United States,0
brewpub,Plano,Texas,United States,0
micro,Carmel,Indiana,United States,1
micro,Baltimore,Maryland,United States,1
planning,Plum City,Wisconsin,United States,0
brewpub,Fergus Falls,Minnesota,United States,0
brewpub,Providence,Rhode Island,United States,0
planning,Humboldt,Kansas,United States,0
brewpub,Ashland,Ohio,United States,0
micro,Charlotte,North Carolina,United States,1
brewpub,Plano,Texas,United States,0
closed,Stonington,Connecticut,United States,0
micro,Minnetonka,Minnesota,United States,1
planning,Boulder,Colorado,United States,0
micro,Muskegon,Michigan,United States,1
closed,Tustin,California,United States,0
micro,Anaheim,California,United States,1
contract,Lincolnton,North Carolina,United States,0
micro,Scituate,Massachusetts,United States,1
brewpub,Asheville,North Carolina,United States,0
micro,Bloomington,Indiana,United States,1
regional,Bloomington,Indiana,United States,0
micro,Escanaba,Michigan,United States,1
micro,Kearny,Nebraska,United States,1
micro,Portland,Oregon,United States,1
brewpub,San Jose,California,United States,0
brewpub,Sylvania,Ohio,United States,0
planning,Boulder,Colorado,United States,0
micro,Boulder,Colorado,United States,1
regional,Boulder,Colorado,United States,0
micro,Elmira,New York,United States,1
brewpub,Greenville,South Carolina,United States,0
brewpub,Omaha,Nebraska,United States,0
micro,Greenville,North Carolina,United States,1
micro,Portland,Oregon,United States,1
planning,Livingston Manor,New York,United States,0
planning,Saint Robert,Missouri,United States,0
micro,Docklands,VIC,Australia,1
micro,Cincinnati,Ohio,United States,1
micro,Cape Town,Western Cape,South Africa,1
regional,Saint Louis,Missouri,United States,0
brewpub,Saint Petersburg,Florida,United States,0
micro,Seattle,Washington,United States,1
brewpub,Saint Paul,Minnesota,United States,0
micro,Milwaukee,Wisconsin,United States,1
brewpub,Sauk Rapids,Minnesota,United States,0
planning,Chicago,Illinois,United States,0
brewpub,Saint Louis,Missouri,United States,0
brewpub,Sacramento,California,United States,0
micro,New Orleans,Louisiana,United States,1
brewpub,Philadelphia,Pennsylvania,United States,0
micro,Ferndale,Michigan,United States,1
brewpub,San Marcos,California,United States,0
planning,Duluth,Minnesota,United States,0
micro,Aurora,Colorado,United States,1
brewpub,Oswego,New York,United States,0
regional,Salt Lake City,Utah,United States,0
brewpub,Woodland Park,Colorado,United States,0
micro,Minneapolis,Minnesota,United States,1
brewpub,Ruston,Louisiana,United States,0
brewpub,Ogden,Utah,United States,0
brewpub,Lafayette,Colorado,United States,0
micro,Spokane,Washington,United States,1
brewpub,Keokuk,Iowa,United States,0
micro,Yenda,NSW,Australia,1
brewpub,Oliveira de Azemeis,Aveiro,Portugal,0
